"PointID","x","y","Displacement_x","Displacement_y","Velocity_x","Velocity_y","Acceleration_x","Acceleration_y","Sxx","Syy","Sxy","Von_Mises_Stress"
0, -1.990233000000000e-01, 1.178851000000000e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -6.909256055795906e+06, -2.407988359205061e+06, 1.492446271224104e+06, 5.401017900945634e+06
1, -1.905404000000000e-01, 1.243298000000000e-02, -7.331276742409883e-05, 4.969664079699175e-05, -4.775544952663056e-03, 2.562661377670496e-03, -1.830034893327324e-01, -1.008501248716172e+00, -4.877821968484360e+06, 1.784514914748145e+05, -2.460769481154666e+05, 5.080168969577962e+06
2, -1.814989000000000e-01, 1.300915000000000e-02, -1.336070497668581e-04, 1.324264258522174e-04, -9.462459004583916e-03, 8.232885089870436e-03, -1.469252640108526e+00, -8.401051456947188e-01, -3.840902331524351e+06, -1.948202486625240e+05, -1.347452016207059e+05, 3.656027848964674e+06
3, -1.719248000000000e-01, 1.351448000000000e-02, -1.869200686122647e-04, 2.577824405916952e-04, -1.415842452980210e-02, 1.778813896342260e-02, -3.442750381376893e+00, 8.587386983183380e-01, -2.972396130187437e+06, -7.979454268627391e+04, -9.544643307737488e+04, 2.898893587278262e+06
4, -1.618466000000000e-01, 1.394718000000000e-02, -2.320570427256906e-04, 4.202817382063079e-04, -1.879740422647396e-02, 3.105234881364198e-02, -6.059941748707045e+00, 4.397947363272621e+00, -2.240278553977236e+06, -6.226380540179148e+04, -5.402627469153881e+04, 2.180693375612523e+06
5, -1.512935000000000e-01, 1.430588000000000e-02, -2.689656470048880e-04, 6.150473728086315e-04, -2.336445890463166e-02, 4.790298023074901e-02, -9.246579592026766e+00, 1.006857561937608e+01, -1.614623325089421e+06, -2.860713482873356e+04, -2.409718115638080e+04, 1.586748263691428e+06
6, -1.402968000000000e-01, 1.459006000000000e-02, -2.977347457078919e-04, 8.368229684081685e-04, -2.783323029204837e-02, 6.814353058046382e-02, -1.290398697383873e+01, 1.806921534669629e+01, -1.082514110585595e+06, -4.167869073800204e+03, -2.811259079773154e+03, 1.078360899371388e+06
7, -1.288884000000000e-01, 1.479966000000000e-02, -3.184686558468589e-04, 1.080296441096400e-03, -3.216901977172779e-02, 9.151702913708755e-02, -1.692301761913005e+01, 2.850165511519472e+01, -6.225029939904895e+05, 1.761676400956421e+04, 1.184311836594057e+04, 6.405578368832638e+05
8, -1.171021000000000e-01, 1.493550000000000e-02, -3.313430675876864e-04, 1.340003906727409e-03, -3.633683967554094e-02, 1.176873036261479e-01, -2.119002109770834e+01, 4.134839144852474e+01, -2.214367977601383e+05, 3.631979883218516e+04, 2.103460984764060e+04, 2.611671540079793e+05
9, -1.049722000000000e-01, 1.499882000000000e-02, -3.366028519945120e-04, 1.610411721219920e-03, -4.030885118764407e-02, 1.462218323447814e-01, -2.560345925210070e+01, 5.642973581352345e+01, 1.309721870121067e+05, 5.273721073429954e+04, 2.576355755713477e+04, 9.367900034259667e+04
10, -9.253454000000000e-02, 1.499170000000000e-02, -3.345787573064594e-04, 1.885925611934803e-03, -4.408329544220611e-02, 1.765833563550467e-01, -3.011537240016753e+01, 7.338435805626682e+01, 4.422608356570401e+05, 6.720024104064154e+04, 2.675931870251898e+04, 3.788597289020018e+05
