"PointID","x","y","Adjoint_Density","Adjoint_X-Momentum","Adjoint_Y-Momentum","Adjoint_Energy","Surface_Sensitivity","Limiter_Adjoint_Density"
0,1.500000000000000e+00,1.000000000000000e+00,3.317292944174239e-04,-9.540498846560857e-07,2.186339107456464e-11,6.106702008769522e-10,0.000000000000000e+00,0.000000000000000e+00,
1,1.479591836734694e+00,1.000000000000000e+00,3.317300558641830e-04,-9.540515317068161e-07,-2.640784777831052e-11,6.106716192201756e-10,0.000000000000000e+00,0.000000000000000e+00,
2,1.459183673469388e+00,1.000000000000000e+00,3.317468517633232e-04,-9.540865014121848e-07,-4.394645124949769e-11,6.107025605940001e-10,0.000000000000000e+00,0.000000000000000e+00,
3,1.438775510204082e+00,1.000000000000000e+00,3.317551601975040e-04,-9.541038350448275e-07,-2.197620942354273e-11,6.107178799463080e-10,0.000000000000000e+00,0.000000000000000e+00,
4,1.418367346938776e+00,1.000000000000000e+00,3.317341893041250e-04,-9.540603224147837e-07,1.320961490460621e-11,6.106792920941818e-10,0.000000000000000e+00,0.000000000000000e+00,
5,1.397959183673469e+00,1.000000000000000e+00,3.317047720481032e-04,-9.539992535447341e-07,1.940494387725542e-11,6.106251418686231e-10,0.000000000000000e+00,0.000000000000000e+00,
6,1.377551020408163e+00,1.000000000000000e+00,3.317216645870143e-04,-9.540344174217770e-07,-2.117127872029842e-11,6.106562355489699e-10,0.000000000000000e+00,0.000000000000000e+00,
7,1.357142857142857e+00,1.000000000000000e+00,3.318241196324416e-04,-9.542473891390048e-07,-7.760594375852012e-11,6.108448484662223e-10,0.000000000000000e+00,0.000000000000000e+00,
8,1.336734693877551e+00,1.000000000000000e+00,3.319854354231117e-04,-9.545826839491884e-07,-8.798708221287975e-11,6.111418349040434e-10,0.000000000000000e+00,0.000000000000000e+00,
9,1.316326530612245e+00,1.000000000000000e+00,3.321053928640316e-04,-9.548320361272293e-07,-8.391637283343826e-12,6.113626913456812e-10,0.000000000000000e+00,0.000000000000000e+00,
10,1.295918367346939e+00,1.000000000000000e+00,3.320571191473478e-04,-9.547317848884230e-07,1.459590991473930e-10,6.112738278037559e-10,0.000000000000000e+00,0.000000000000000e+00,
11,1.275510204081633e+00,1.000000000000000e+00,3.317587647870724e-04,-9.541118303126371e-07,3.011597298672143e-10,6.107245356639929e-10,0.000000000000000e+00,0.000000000000000e+00,
12,1.255102040816326e+00,1.000000000000000e+00,3.312234699037857e-04,-9.529994750303846e-07,3.677963882102832e-10,6.097389946014424e-10,0.000000000000000e+00,0.000000000000000e+00,
13,1.234693877551021e+00,1.000000000000000e+00,3.305576950517632e-04,-9.516159601969116e-07,2.962955335801951e-10,6.085132131051860e-10,0.000000000000000e+00,0.000000000000000e+00,
14,1.214285714285714e+00,1.000000000000000e+00,3.299121393645695e-04,-9.502744674092729e-07,1.071784793673653e-10,6.073246661406936e-10,0.000000000000000e+00,0.000000000000000e+00,
15,1.193877551020408e+00,1.000000000000000e+00,3.294162120596939e-04,-9.492439374202915e-07,-1.212433500262712e-10,6.064116391188195e-10,0.000000000000000e+00,0.000000000000000e+00,
16,1.173469387755102e+00,1.000000000000000e+00,3.291312296683248e-04,-9.486518012994837e-07,-2.964777347589337e-10,6.058870414854735e-10,0.000000000000000e+00,0.000000000000000e+00,
17,1.153061224489796e+00,1.000000000000000e+00,3.290413300935278e-04,-9.484650941680236e-07,-3.582621640692498e-10,6.057216658860839e-10,0.000000000000000e+00,0.000000000000000e+00,
18,1.132653061224490e+00,1.000000000000000e+00,3.290782754990170e-04,-9.485419990123080e-07,-3.022060215404308e-10,6.057898526978438e-10,0.000000000000000e+00,0.000000000000000e+00,
19,1.112244897959184e+00,1.000000000000000e+00,3.291609192581353e-04,-9.487138686169793e-07,-1.722949402554473e-10,6.059421645650641e-10,0.000000000000000e+00,0.000000000000000e+00,
20,1.091836734693878e+00,1.000000000000000e+00,3.292283005442206e-04,-9.488540064795429e-07,-3.214619968576957e-11,6.060663334597233e-10,0.000000000000000e+00,0.000000000000000e+00,
21,1.071428571428571e+00,1.000000000000000e+00,3.292542198559388e-04,-9.489079611000525e-07,6.635030560558749e-11,6.061141081365156e-10,0.000000000000000e+00,0.000000000000000e+00,
22,1.051020408163265e+00,1.000000000000000e+00,3.292431283509885e-04,-9.488849844981079e-07,1.015442077380905e-10,6.060936890060474e-10,0.000000000000000e+00,0.000000000000000e+00,
23,1.030612244897959e+00,1.000000000000000e+00,3.292154277211408e-04,-9.488274812029044e-07,8.247167247138780e-11,6.060426576495666e-10,0.000000000000000e+00,0.000000000000000e+00,
24,1.010204081632653e+00,1.000000000000000e+00,3.291920937231812e-04,-9.487790501278821e-07,3.604409282922137e-11,6.059996565761907e-10,0.000000000000000e+00,0.000000000000000e+00,
25,9.897959183673468e-01,1.000000000000000e+00,3.291852572783518e-04,-9.487649074623456e-07,-9.431262454456579e-12,6.059870385096281e-10,0.000000000000000e+00,0.000000000000000e+00,
